"FOI","variable","media","q025","q975","significativo"
"variante","Precipitation",-0.079439428099916,-0.108153149838076,-0.0508315729473023,"Yes"
"variante","Relative humidity",0.00109155804202745,-0.0411994441286412,0.0448851731025955,"No"
"variante","Elevation",-0.0554498926813447,-0.0798511127397049,-0.0306952044313181,"Yes"
"variante","Population density",-0.0625771959521575,-0.0868622391362764,-0.0385041586984837,"Yes"
"constante","Precipitation",-0.14531090173931,-0.150081047495266,-0.140538348967033,"Yes"
"constante","Relative humidity",0.0171636229183597,0.00940441365554643,0.0249194459424221,"Yes"
"constante","Elevation",-0.123542416062322,-0.12800235320302,-0.119083320520664,"Yes"
"constante","Population density",-0.0262345901501497,-0.0301247461889811,-0.0223424732590247,"Yes"
