"Model","DIC","WAIC","p_eff","R2"
"Multivariable",-5845.22374795175,-5839.1047848343,114.289763309382,0.9833
"Elevation",-3782.95030570357,-3780.86502324609,96.1741563088644,0.9363
"Precipitation",-3373.03132136222,-3371.70707743245,109.550991360498,0.9187
"Relative humidity",-2254.02829101454,-2256.75469368557,108.334154868976,0.8337
"Population density",-2181.77604696035,-2184.85625637889,95.040909291698,0.8228
"Baseline",-1914.11052159808,-1917.80723298864,93.5029887224766,0.7894
