"modelo","significativo","variable","beta","sd","lower95","upper95","FOI"
"01_temp","Yes","temp_lag",0.186598242284699,0.00341622164193909,0.179893364651515,0.193292891026987,"constante"
"02_prec","Yes","prec_lag",-0.191574549571956,0.00402029100427624,-0.199455502721256,-0.183686665415982,"constante"
"03_hum","Yes","hum_lag",0.163919092405584,0.00968560779393525,0.144936581089882,0.182896481661845,"constante"
"04_elevation","Yes","elevation_z",-0.17493248751639,0.00302016311858635,-0.180852998124393,-0.169006758141732,"constante"
"05_pop_density","Yes","pop_dens_z",0.0837835851660246,0.00515901407774135,0.0736637481855703,0.0938990827922136,"constante"
"06_temp_prec","Yes","prec_lag",-0.124179079644022,0.00268825140095508,-0.129451784630786,-0.118907538882442,"constante"
"06_temp_prec","Yes","temp_lag",0.132453691849731,0.00248962492210456,0.127569984787188,0.137335157197704,"constante"
"07_temp_hum","Yes","hum_lag",-0.0460728022598601,0.00789336057878143,-0.0615606808657973,-0.0306181850898202,"constante"
"07_temp_hum","Yes","temp_lag",0.204107111202157,0.00448625639100099,0.195311915560901,0.212903236054781,"constante"
"08_prec_hum","Yes","hum_lag",0.147236944745592,0.00525457429093934,0.136924627952745,0.15753476006973,"constante"
"08_prec_hum","Yes","prec_lag",-0.182552213820873,0.00323241671094132,-0.188890775753889,-0.176212116497465,"constante"
"10_prec_elev","Yes","elevation_z",-0.128083809577988,0.00184219434214052,-0.13169641130043,-0.124470675771463,"constante"
"10_prec_elev","Yes","prec_lag",-0.127559120511672,0.00216639056100012,-0.131807842194577,-0.123310512170741,"constante"
"11_temp_dens","Yes","pop_dens_z",0.0097215464540359,0.00361497487302557,0.00263394115196092,0.0168131109475664,"constante"
"11_temp_dens","Yes","temp_lag",0.182058273309012,0.00380449702565905,0.174592487789687,0.18951478564442,"constante"
"12_prec_dens","Yes","pop_dens_z",-0.0120589566623716,0.00423875549698218,-0.0203699366648567,-0.00374405938293366,"constante"
"12_prec_dens","Yes","prec_lag",-0.199270841871407,0.00480094245400924,-0.208682035773463,-0.189851137706997,"constante"
"13_elev_dens","Yes","elevation_z",-0.164931556633895,0.00305363652813655,-0.170918059554423,-0.15894054261671,"constante"
"13_elev_dens","Yes","pop_dens_z",0.0345088640693354,0.00317198327748054,0.0282883819095471,0.0407300728450432,"constante"
"14_climate_full","Yes","hum_lag",0.0171243347429018,0.00520445270792127,0.00691751350172769,0.0273310796798736,"constante"
"14_climate_full","Yes","prec_lag",-0.126851455337047,0.00279861132292326,-0.132340019737442,-0.121362881088396,"constante"
"14_climate_full","Yes","temp_lag",0.124942018100565,0.00337504168417406,0.118322637473137,0.131560699597007,"constante"
"15_elev_prec_hum","Yes","elevation_z",-0.123858957096119,0.00240140399166061,-0.128568747555713,-0.119149599717303,"constante"
"15_elev_prec_hum","Yes","hum_lag",0.0113306572833947,0.00414306264509643,0.00320429201695592,0.0194547814024531,"constante"
"15_elev_prec_hum","Yes","prec_lag",-0.128924357896307,0.00221383603723177,-0.133265568967683,-0.124582097768585,"constante"
"16_elev_prec_hum_dens","Yes","elevation_z",-0.123542477104565,0.00227201242971129,-0.127998722580639,-0.119087116296458,"constante"
"16_elev_prec_hum_dens","Yes","hum_lag",0.0171634768313664,0.00395224147423696,0.00941066154020849,0.0249126597374493,"constante"
"16_elev_prec_hum_dens","Yes","pop_dens_z",-0.0262344581662646,0.00198243992166482,-0.0301214323125458,-0.0223456020330347,"constante"
"16_elev_prec_hum_dens","Yes","prec_lag",-0.145310707440943,0.00243089054546192,-0.150077000775055,-0.140542203425269,"constante"
"17_climate_dens","Yes","hum_lag",0.01321856410477,0.00460239133765702,0.00419338925661664,0.022245442420564,"constante"
"17_climate_dens","Yes","pop_dens_z",-0.0477669516189931,0.00226344105806228,-0.0522045817964107,-0.0433265749747546,"constante"
"17_climate_dens","Yes","prec_lag",-0.150538111601334,0.00270056077405555,-0.155833926248529,-0.145241397035867,"constante"
"17_climate_dens","Yes","temp_lag",0.138049717362763,0.00304123445417877,0.132084436680546,0.144013147522467,"constante"
"19_temp_prec_inter","Yes","prec_lag",-0.118359204234213,0.00317689857309969,-0.124589258569361,-0.112128387859376,"constante"
"19_temp_prec_inter","Yes","temp_lag",0.126250309943585,0.0030755214081839,0.120217085722486,0.132280334085014,"constante"
"19_temp_prec_inter","Yes","temp_x_prec",-0.012878804528247,0.00377256565363097,-0.020278805240511,-0.00548151784047367,"constante"
"20_temp_hum_inter","Yes","hum_lag",-0.0453740607473018,0.0102089538321796,-0.0653910603410668,-0.0253652366791441,"constante"
"20_temp_hum_inter","Yes","temp_lag",0.204522131792208,0.00530794372124509,0.194104758366367,0.214922901379371,"constante"
"20_temp_hum_inter","No","temp_x_hum",-0.000914552576208305,0.00723405591178999,-0.0151055904808635,0.013268686978916,"constante"
"22_elev_prec_inter","Yes","elev_x_prec",-0.0350116999410633,0.00403796938690266,-0.0429267447313367,-0.0270884668948497,"constante"
"22_elev_prec_inter","Yes","elevation_z",-0.14363150522211,0.00253457537801093,-0.148600067167835,-0.13865857437337,"constante"
"22_elev_prec_inter","Yes","prec_lag",-0.145449574800521,0.00294668633142531,-0.151226216472065,-0.139668318906194,"constante"
