"Model","DIC","WAIC","p_eff","R2"
"Multivariable",328.370212337817,332.611090093583,101.602179100613,0.5883
"Elevation",361.530379346991,365.298963536392,99.3443248998268,0.5783
"Precipitation",371.139075948686,374.803602778873,99.1543562169659,0.5756
"Relative humidity",376.0638559908,379.565649226115,101.028957322858,0.5752
NA,376.48821394893,380.163799160723,99.0929422096288,0.5741
"Population density",392.9954453222,396.237599343938,99.4478524537235,0.5698
"Baseline",393.666908606177,396.93218490574,98.5317124365386,0.5691
