"variable","media","sd","q025","q975"
"prec_lag",-0.07982931939067,0.00413722720707536,-0.0873653740302696,-0.072839288045622
"hum_lag",0.0239277978932141,0.00607772763356406,0.0134158042745066,0.0360826663782799
"elevation_z",-0.0423241219193182,0.003201972326719,-0.0484039003077291,-0.0354111568207127
"pop_dens_z",-0.0603426108675207,0.00302787902125241,-0.0662319571463067,-0.0539659408552835
